"Order";"Level";"Code";"Parent";"Description"
"1456782";"5";"04392";"0439";"Other farmed crustaceans, live, fresh or chilled"
"1456783";"3";"044";"04";"Molluscs live, fresh or chilled"
"1456784";"4";"0441";"044";"Abalone, live, fresh or chilled"
"1456785";"5";"04411";"0441";"Wild abalone, live, fresh or chilled"
"1456786";"5";"04412";"0441";"Farmed abalone, live, fresh or chilled"
"1456787";"4";"0442";"044";"Oysters, live, fresh or chilled"
"1456788";"5";"04421";"0442";"Wild oysters, live, fresh or chilled"
"1456789";"5";"04422";"0442";"Farmed oysters, live, fresh or chilled"
"1456790";"4";"0443";"044";"Mussels, live, fresh or chilled"
"1456791";"5";"04431";"0443";"Wild mussels, live, fresh or chilled"
"1456792";"5";"04432";"0443";"Farmed mussels, live, fresh or chilled"
"1456793";"4";"0444";"044";"Scallops, live, fresh or chilled"
"1456794";"5";"04441";"0444";"Wild scallops, live, fresh or chilled"
"1456795";"5";"04442";"0444";"Farmed scallops, live, fresh or chilled"
"1456796";"4";"0445";"044";"Clams, cockles and ark shells, live, fresh or chilled"
"1456797";"5";"04451";"0445";"Wild clams, cockles and ark shells, live, fresh or chilled"
"1456798";"5";"04452";"0445";"Farmed clams, cockles and ark shells, live, fresh or chilled"
"1456799";"4";"0446";"044";"Cuttle fish and squid, live, fresh or chilled"
"1456800";"5";"04461";"0446";"Wild cuttle fish and squid, live, fresh or chilled"
"1456801";"5";"04462";"0446";"Farmed cuttle fish and squid, live, fresh or chilled"
"1456802";"4";"0447";"044";"Octopus, live, fresh or chilled"
"1456803";"5";"04471";"0447";"Wild octopus, live, fresh or chilled"
"1456804";"5";"04472";"0447";"Farmed octopus, live, fresh or chilled"
"1456805";"4";"0449";"044";"Other molluscs, live, fresh or chilled"
"1456806";"5";"04491";"0449";"Other wild molluscs, live, fresh or chilled"
"1456807";"5";"04492";"0449";"Other farmed molluscs, live, fresh or chilled"
"1456808";"3";"045";"04";"Other aquatic invertebrates, live, fresh or chilled"
"1456809";"4";"0451";"045";"Sea cucumbers, live, fresh or chilled"
"1456810";"5";"04511";"0451";"Wild sea cucumbers, live, fresh or chilled"
"1456811";"5";"04512";"0451";"Farmed sea cucumbers, live, fresh or chilled"
"1456812";"4";"0452";"045";"Sea urchins, live, fresh or chilled"
"1456813";"5";"04521";"0452";"Wild sea urchins, live, fresh or chilled"
"1456814";"5";"04522";"0452";"Farmed sea urchins, live, fresh or chilled"
"1456815";"4";"0453";"045";"Jellyfish, live, fresh or chilled"
"1456816";"5";"04530";"0453";"Jellyfish, live, fresh or chilled"
"1456817";"4";"0459";"045";"Other aquatic invertebrates, live, fresh or chilled, n.e.c."
"1456818";"5";"04590";"0459";"Other aquatic invertebrates, live, fresh or chilled, n.e.c."
"1456819";"3";"049";"04";"Other aquatic plants and animals"
"1456820";"4";"0491";"049";"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose"
"1456821";"5";"04911";"0491";"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone"
"1456822";"5";"04912";"0491";"Wild live aquatic plants and animals for ornamental purpose"
"1456823";"5";"04913";"0491";"Farmed live aquatic plants and animals for ornamental purpose"
"1456824";"4";"0492";"049";"Natural sponges of aquatic animal origin"
"1456825";"5";"04920";"0492";"Natural sponges of aquatic animal origin"
"1456826";"4";"0493";"049";"Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
"1456827";"5";"04931";"0493";"Wild seaweeds and other algae, fresh, frozen or dried, whether or not ground, fit for human consumption"
"1456828";"5";"04932";"0493";"Farmed seaweeds and other algae, fresh, frozen or dried, whether or not ground, fit for human consumption"
"1456829";"5";"04933";"0493";"Wild seaweeds and other algae, fresh, frozen or dried, whether or not ground, unfit for human consumption"
"1456830";"5";"04934";"0493";"Farmed seaweeds and other algae, fresh, frozen or dried, whether or not ground, unfit for human consumption"
"1456831";"1";"1";;"Ores and minerals; electricity, gas and water"
"1456832";"2";"11";"1";"Coal and peat"
"1456833";"3";"110";"11";"Coal and peat"
"1456834";"4";"1101";"110";"Hard coal"
"1456835";"5";"11010";"1101";"Hard coal"
"1456836";"4";"1102";"110";"Patent fuel and similar solid fuels manufactured from hard coal"
"1456837";"5";"11020";"1102";"Patent fuel and similar solid fuels manufactured from hard coal"
"1456838";"4";"1103";"110";"Brown coal"
"1456839";"5";"11030";"1103";"Brown coal"
