"Order";"Level";"Code";"Parent";"Description";"This item includes";"This item also includes";"Rulings";"This item excludes"
"1209079";"6";"02.20.11";"02.20.1";"Logs of coniferous wood";;;;
"1209080";"6";"02.20.12";"02.20.1";"Logs of non-coniferous wood, except tropical wood";;;;
"1209081";"6";"02.20.13";"02.20.1";"Logs of tropical wood";;;;
"1209082";"6";"02.20.14";"02.20.1";"Fuel wood of coniferous wood";;;;
"1209083";"6";"02.20.15";"02.20.1";"Fuel wood of non-coniferous wood";;;;
"1209084";"3";"02.3";"02";"Wild growing non-wood products";;;;
"1209085";"4";"02.30";"02.3";"Wild growing non-wood products";;;;
"1209086";"5";"02.30.1";"02.30";"Natural gums";;;;
"1209087";"6";"02.30.11";"02.30.1";"Balata, gutta-percha, guayula, chicle and similar natural gums";;;;
"1209088";"6";"02.30.12";"02.30.1";"Lac, balsams and other natural gums and resins";;;;
"1209089";"5";"02.30.2";"02.30";"Natural cork, raw or simply prepared";;;;
"1209090";"6";"02.30.20";"02.30.2";"Natural cork, raw or simply prepared";;;;
"1209091";"5";"02.30.3";"02.30";"Parts of plants, grasses, mosses and lichens suitable for ornamental purposes";;;;
"1209092";"6";"02.30.30";"02.30.3";"Parts of plants, grasses, mosses and lichens suitable for ornamental purposes";;;;
"1209093";"5";"02.30.4";"02.30";"Wild growing edible products";;;;
"1209094";"6";"02.30.40";"02.30.4";"Wild growing edible products";;;;
"1209095";"3";"02.4";"02";"Support services to forestry";;;;
"1209096";"4";"02.40";"02.4";"Support services to forestry";;;;
"1209097";"5";"02.40.1";"02.40";"Support services to forestry";;;;
"1209098";"6";"02.40.10";"02.40.1";"Support services to forestry";;;;
"1209099";"2";"03";"A";"Fish and other fishing products; aquaculture products; support services to fishing";;;;
"1209100";"3";"03.0";"03";"Fish and other fishing products; aquaculture products; support services to fishing";;;;
"1209101";"4";"03.00";"03.0";"Fish and other fishing products; aquaculture products; support services to fishing";;;;
"1209102";"5";"03.00.1";"03.00";"Fish, live, not for human consumption";;;;
