"Order";"Level";"Code";"Parent";"Description"
"397470";"4";"5141";"514";"Wholesale of solid, liquid and gaseous fuels and related products"
"397471";"4";"5142";"514";"Wholesale of metals and metal ores"
"397472";"4";"5143";"514";"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
"397473";"4";"5149";"514";"Wholesale of other intermediate products, waste and scrap"
"397474";"3";"515";"51";"Wholesale of machinery, equipment and supplies"
"397475";"4";"5150";"515";"Wholesale of machinery, equipment and supplies"
"397476";"3";"519";"51";"Other wholesale"
"397477";"4";"5190";"519";"Other wholesale"
"397478";"2";"52";"G";"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods"
"397479";"3";"521";"52";"Non-specialized retail trade in stores"
"397480";"4";"5211";"521";"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"397481";"4";"5219";"521";"Other retail sale in non-specialized stores"
"397482";"3";"522";"52";"Retail sale of food, beverages and tobacco in specialized stores"
"397483";"4";"5220";"522";"Retail sale of food, beverages and tobacco in specialized stores"
"397484";"3";"523";"52";"Other retail trade of new goods in specialized stores"
"397485";"4";"5231";"523";"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles"
"397486";"4";"5232";"523";"Retail sale of textiles, clothing, footwear and leather goods"
"397487";"4";"5233";"523";"Retail sale of household appliances, articles and equipment"
"397488";"4";"5234";"523";"Retail sale of hardware, paints and glass"
"397489";"4";"5239";"523";"Other retail sale in specialized stores"
"397490";"3";"524";"52";"Retail sale of second-hand goods in stores"
"397491";"4";"5240";"524";"Retail sale of second-hand goods in stores"
"397492";"3";"525";"52";"Retail trade not in stores"
"397493";"4";"5251";"525";"Retail sale via mail order houses"
"397494";"4";"5252";"525";"Retail sale via stalls and markets"
"397495";"4";"5259";"525";"Other non-store retail sale"
"397496";"3";"526";"52";"Repair of personal and household goods"
"397497";"4";"5260";"526";"Repair of personal and household goods"
"397498";"1";"H";;"Hotels and restaurants"
"397499";"2";"55";"H";"Hotels and restaurants"
"397500";"3";"551";"55";"Hotels; camping sites and other provision of short-stay accommodation"
"397501";"4";"5510";"551";"Hotels; camping sites and other provision of short-stay accommodation"
"397502";"3";"552";"55";"Restaurants, bars and canteens"
"397503";"4";"5520";"552";"Restaurants, bars and canteens"
"397504";"1";"I";;"Transport, storage and communications"
"397505";"2";"60";"I";"Land transport; transport via pipelines"
"397506";"3";"601";"60";"Transport via railways"
"397507";"4";"6010";"601";"Transport via railways"
"397508";"3";"602";"60";"Other land transport"
"397509";"4";"6021";"602";"Other scheduled passenger land transport"
